STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070801,391,1092
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070901,820,1066
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20071001,300,1183
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20071101,211,761
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20071201,99,209
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080101,259,264
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080301,531,793
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080401,51,191
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080501,340,2146
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080601,589,1292
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080701,191,559
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080801,231,322
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20080901,99,320
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20081001,89,182
